id_buku,judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok
BK00229,Kriptografi: Prinsip dan Praktik,Sari Samosir,PT Grasindo,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Jaringan & Keamanan Siber,"Buku ini membahas secara mendalam tentang proteksi data digital, keamanan jaringan komputer, serta sistem enkripsi. Membantu pembaca membangun pemahaman konseptual maupun praktis.","protokol jaringan, jaringan komputer, firewall, enkripsi",Indonesia,Fisik,227,978-1-110-37129-7,5
BK00230,Manajemen SQL Server Modern Edisi Ke-2,Karja Zulaika,Bumi Aksara,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang arsitektur data warehouse, perancangan basis data, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","manajemen data, sql, basis data, query",Indonesia,Fisik,170,978-0-05-162713-5,3
BK00231,Sistem Basis Data: Teori dan Aplikasi Edisi Ke-2,"Clara Jailani, Galar Uwais",UI Press,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, normalisasi data, serta arsitektur data warehouse. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, data warehouse, database, normalisasi",Indonesia,Fisik,206,978-0-622-18909-3,0
BK00232,Perancangan SQL Server,"Catur Farida, S.I.Kom",Pustaka Pelajar,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang normalisasi data, query dan manipulasi data, serta manajemen sistem basis data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","manajemen data, query, database, sql",Indonesia,Fisik,450,978-0-697-31121-4,1
BK00233,Perancangan Database NoSQL Edisi Revisi,drg. Kamaria Aryani,Alfabeta,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, query dan manipulasi data, serta normalisasi data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","basis data, query, manajemen data, data warehouse",Inggris,E-book,516,978-0-341-38999-6,9999
BK00234,Data Warehouse: Teori dan Aplikasi Edisi Ke-3,"Victoria Dongoran, Hj. Ilsa Putra, M.TI.",Nuha Medika,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai perancangan basis data, manajemen sistem basis data, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, normalisasi, database, manajemen data",Indonesia,Fisik,409,978-1-4037-6137-8,2
BK00235,Basis Data: Teori dan Aplikasi Edisi Terbaru,"Legawa Hidayanto, M.TI., Gatra Simanjuntak",Erlangga,2006,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang manajemen sistem basis data, normalisasi data, serta arsitektur data warehouse. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","manajemen data, database, sql, basis data",Indonesia,Fisik,480,978-1-965827-10-9,8
BK00236,Database NoSQL: Teori dan Aplikasi,"Puti Amalia Saptono, Arta Halim",UI Press,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, normalisasi data, serta manajemen sistem basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","query, database, manajemen data, basis data",Indonesia,Fisik,525,978-1-86661-889-9,7
BK00237,Manajemen SQL Server Modern,"Estiawan Hutasoit, Cindy Melani",Graha Ilmu,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang manajemen sistem basis data, normalisasi data, serta query dan manipulasi data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","manajemen data, sql, query, nosql",Indonesia,Fisik,465,978-0-85691-463-8,7
BK00238,Perancangan Database NoSQL Edisi Terbaru,"Dipa Irawan, Calista Hasanah",Salemba Empat,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami manajemen sistem basis data, arsitektur data warehouse, serta normalisasi data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","basis data, sql, manajemen data, nosql",Indonesia,Fisik,252,978-1-210-20275-0,2
BK00239,Manajemen Database NoSQL Modern,Dr. Purwa Rajata,Salemba Empat,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, query dan manipulasi data, serta manajemen sistem basis data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","manajemen data, basis data, sql, normalisasi",Indonesia,E-book,457,978-1-241-05648-3,9999
BK00240,Perancangan Sistem Basis Data,Eluh Permata,Informatika Bandung,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai manajemen sistem basis data, perancangan basis data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, data warehouse, normalisasi, nosql",Indonesia,E-book,169,978-1-78507-925-2,9999
BK00241,Pengantar Database NoSQL Relasional,Dodo Jailani,UI Press,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang arsitektur data warehouse, perancangan basis data, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, basis data, normalisasi, data warehouse",Indonesia,E-book,391,978-0-8000-3075-9,9999
BK00242,Perancangan Data Warehouse,Eka Nugroho,Informatika Bandung,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, manajemen sistem basis data, serta perancangan basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, normalisasi, data warehouse, database",Indonesia,Fisik,122,978-1-353-65419-5,0
BK00243,Manajemen Basis Data Modern,"Devi Mardhiyah, Umay Habibi, S.E.",Informatika Bandung,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami manajemen sistem basis data, query dan manipulasi data, serta normalisasi data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","nosql, normalisasi, database, basis data",Indonesia,E-book,261,978-0-617-44518-0,9999
BK00244,Perancangan Data Warehouse,Ajeng Uwais,Salemba Empat,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami query dan manipulasi data, normalisasi data, serta manajemen sistem basis data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","database, data warehouse, manajemen data, nosql",Indonesia,E-book,237,978-1-949375-97-8,9999
BK00245,Perancangan Basis Data Edisi Terbaru,"KH. Daliman Palastri, S.H.",Andi Publisher,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami perancangan basis data, manajemen sistem basis data, serta query dan manipulasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","basis data, sql, normalisasi, data warehouse",Indonesia,Fisik,309,978-0-603-85050-9,1
BK00246,Pengantar Data Warehouse Relasional,"Ir. Harimurti Samosir, S.IP",Erlangga,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami query dan manipulasi data, perancangan basis data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","basis data, query, sql, normalisasi",Indonesia,E-book,206,978-0-670-24103-3,9999
BK00247,SQL Server: Teori dan Aplikasi,"Drs. Laras Wahyudin, M.M.",Andi Publisher,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai query dan manipulasi data, arsitektur data warehouse, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, database, normalisasi, query",Indonesia,E-book,265,978-0-8261-9906-5,9999
BK00248,Sistem Basis Data: Teori dan Aplikasi Edisi Ke-2,"Yoga Mustofa, S.H.",Bumi Aksara,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang manajemen sistem basis data, query dan manipulasi data, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","query, manajemen data, basis data, database",Indonesia,Fisik,531,978-1-56557-431-1,8
BK00249,Manajemen Database NoSQL Modern,Cahya Padmasari,Pustaka Pelajar,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang normalisasi data, query dan manipulasi data, serta arsitektur data warehouse. Membantu pembaca membangun pemahaman konseptual maupun praktis.","query, manajemen data, normalisasi, sql",Indonesia,Fisik,154,978-0-12-775618-9,6
BK00250,Perancangan Sistem Basis Data,Vera Pranowo,Deepublish,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari normalisasi data, perancangan basis data, serta manajemen sistem basis data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","basis data, nosql, database, sql",Inggris,Fisik,301,978-1-74112-490-3,3
BK00251,Perancangan SQL Server,"Rafid Simbolon, Bakijan Prayoga",Rajawali Pers,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami manajemen sistem basis data, arsitektur data warehouse, serta perancangan basis data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","normalisasi, query, database, sql",Indonesia,Fisik,466,978-1-80442-067-6,7
BK00252,Manajemen Basis Data Modern,H. Kunthara Prayoga,Salemba Empat,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, manajemen sistem basis data, serta normalisasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","nosql, normalisasi, manajemen data, database",Indonesia,E-book,529,978-1-121-00323-1,9999
BK00253,Pengantar Database NoSQL Relasional Edisi Ke-3,"drg. Kasiyah Usamah, S.Pt",PT Grasindo,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang query dan manipulasi data, normalisasi data, serta arsitektur data warehouse. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","database, normalisasi, basis data, manajemen data",Indonesia,Fisik,305,978-0-01-372151-2,4
BK00254,Manajemen Sistem Basis Data Modern Edisi Terbaru,Wardaya Hariyah,Alfabeta,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, manajemen sistem basis data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","nosql, database, sql, normalisasi",Inggris,Fisik,412,978-0-9667066-2-8,2
BK00255,Konsep Sistem Basis Data,Gabriella Nashiruddin,Graha Ilmu,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, perancangan basis data, serta arsitektur data warehouse. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","query, sql, data warehouse, nosql",Inggris,Fisik,248,978-1-72099-934-8,8
BK00256,Pengantar Basis Data Relasional,"Laras Pudjiastuti, Almira Irawan",Alfabeta,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, normalisasi data, serta manajemen sistem basis data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","manajemen data, normalisasi, nosql, basis data",Indonesia,Fisik,330,978-1-263-83806-7,1
BK00257,Manajemen SQL Server Modern,"H. Gatot Kuswandari, M.Pd",Bumi Aksara,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang normalisasi data, query dan manipulasi data, serta arsitektur data warehouse. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","database, query, data warehouse, nosql",Inggris,E-book,194,978-1-9856-4205-8,9999
BK00258,Data Warehouse: Teori dan Aplikasi,R.A. Ana Setiawan,PT Grasindo,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari manajemen sistem basis data, normalisasi data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","sql, basis data, data warehouse, database",Indonesia,Fisik,519,978-1-85932-133-1,5
BK00259,Pengantar SQL Server Relasional Edisi Revisi,"Patricia Hakim, Sutan Kamal Wibisono, S.I.Kom",Pustaka Pelajar,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang manajemen sistem basis data, arsitektur data warehouse, serta query dan manipulasi data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","normalisasi, nosql, database, basis data",Indonesia,Fisik,514,978-0-395-59059-1,6
BK00260,Konsep Sistem Basis Data,"R. Padmi Nainggolan, Dr. Puput Saragih, S.E.",Deepublish,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai normalisasi data, query dan manipulasi data, serta arsitektur data warehouse. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","query, database, sql, nosql",Indonesia,Fisik,459,978-0-10-393087-9,5
BK00261,Pengantar Data Warehouse Relasional,Gamblang Susanti,Informatika Bandung,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami arsitektur data warehouse, manajemen sistem basis data, serta normalisasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","manajemen data, data warehouse, normalisasi, sql",Indonesia,Fisik,366,978-0-525-00292-5,8
BK00262,Konsep Data Warehouse,"R. Slamet Novitasari, S.I.Kom",Gramedia Pustaka Utama,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari arsitektur data warehouse, manajemen sistem basis data, serta query dan manipulasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","database, data warehouse, basis data, nosql",Inggris,Fisik,273,978-1-69154-522-3,0
BK00263,Database NoSQL: Teori dan Aplikasi Edisi Revisi,"Maya Uyainah, M.Kom.",Alfabeta,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, manajemen sistem basis data, serta perancangan basis data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","normalisasi, data warehouse, manajemen data, query",Indonesia,Fisik,440,978-0-89539-264-0,3
BK00264,Database NoSQL: Teori dan Aplikasi,"Shakila Sihombing, S.E.I",Pustaka Pelajar,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang perancangan basis data, query dan manipulasi data, serta normalisasi data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","sql, data warehouse, query, database",Indonesia,Fisik,129,978-0-9690295-9-5,2
BK00265,Manajemen Basis Data Modern Edisi Revisi,"Manah Pratiwi, Waluyo Mandasari",Graha Ilmu,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang manajemen sistem basis data, perancangan basis data, serta query dan manipulasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","database, nosql, normalisasi, basis data",Inggris,Fisik,522,978-1-135-52157-8,7
BK00266,Pengantar Basis Data Relasional,Eman Pranowo,Gramedia Pustaka Utama,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai perancangan basis data, query dan manipulasi data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","database, basis data, data warehouse, normalisasi",Indonesia,E-book,247,978-0-541-00676-1,9999
BK00267,Pengantar SQL Server Relasional,"Tasdik Zulkarnain, Keisha Tampubolon",Erlangga,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari manajemen sistem basis data, query dan manipulasi data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","data warehouse, nosql, basis data, manajemen data",Indonesia,Fisik,366,978-0-7932-7104-7,4
BK00268,Basis Data: Teori dan Aplikasi,"Galuh Rajata, Bagya Siregar",PT Grasindo,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari normalisasi data, perancangan basis data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, data warehouse, nosql, normalisasi",Indonesia,Fisik,141,978-1-218-15997-1,7
BK00269,Basis Data: Teori dan Aplikasi Edisi Terbaru,"Ana Astuti, S.E., drg. Endah Habibi",Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai perancangan basis data, normalisasi data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","nosql, query, data warehouse, basis data",Inggris,Fisik,282,978-1-336-88444-1,8
BK00270,Pengantar SQL Server Relasional Edisi Terbaru,Bakti Hardiansyah,Deepublish,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, normalisasi data, serta arsitektur data warehouse. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","database, data warehouse, basis data, normalisasi",Indonesia,Fisik,494,978-1-205-06149-2,7
BK00271,Manajemen Database NoSQL Modern Edisi Ke-2,Farah Kuswoyo,UI Press,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai perancangan basis data, query dan manipulasi data, serta normalisasi data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","manajemen data, data warehouse, database, normalisasi",Indonesia,Fisik,489,978-0-241-71467-6,1
BK00272,Perancangan Database NoSQL,Salimah Saptono,Erlangga,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang query dan manipulasi data, normalisasi data, serta perancangan basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","database, manajemen data, data warehouse, nosql",Indonesia,Fisik,136,978-1-256-52704-6,3
BK00273,Pengantar SQL Server Relasional Edisi Terbaru,Nadia Saptono,Nuha Medika,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, perancangan basis data, serta query dan manipulasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","manajemen data, basis data, database, sql",Indonesia,Fisik,405,978-1-902115-86-3,6
BK00274,Konsep Database NoSQL,"Drs. Darsirah Puspasari, S.Gz, drg. Yuliana Nurdiyanti, S.Farm",Elex Media Komputindo,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai manajemen sistem basis data, perancangan basis data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","sql, query, database, basis data",Indonesia,E-book,456,978-0-7416-0898-7,9999
BK00275,Manajemen SQL Server Modern,"Drs. Murti Safitri, S.E.I",Deepublish,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang normalisasi data, query dan manipulasi data, serta arsitektur data warehouse. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","sql, query, nosql, manajemen data",Inggris,E-book,292,978-1-223-32061-8,9999
BK00276,Manajemen Database NoSQL Modern,"Ibrahim Pangestu, S.E.I",Elex Media Komputindo,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, arsitektur data warehouse, serta normalisasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","nosql, manajemen data, database, data warehouse",Inggris,E-book,501,978-1-116-86854-8,9999
BK00277,Data Warehouse: Teori dan Aplikasi,drg. Vero Budiman,Elex Media Komputindo,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang arsitektur data warehouse, manajemen sistem basis data, serta query dan manipulasi data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","basis data, database, manajemen data, data warehouse",Indonesia,Fisik,515,978-0-622-99911-1,4
BK00278,Konsep Basis Data,"Puti Winda Suwarno, Drs. Jelita Zulkarnain, S.T.",Elex Media Komputindo,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang manajemen sistem basis data, normalisasi data, serta arsitektur data warehouse. Membantu pembaca membangun pemahaman konseptual maupun praktis.","manajemen data, database, data warehouse, sql",Indonesia,E-book,286,978-1-997024-62-0,9999
BK00279,Perancangan Data Warehouse,Ir. Sabrina Wacana,Informatika Bandung,2016,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini membahas secara mendalam tentang perancangan basis data, query dan manipulasi data, serta arsitektur data warehouse. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","sql, manajemen data, nosql, database",Inggris,Fisik,514,978-1-5307-4505-0,3
BK00280,Pengantar Basis Data Relasional,"Tgk. Ira Setiawan, M.Kom., Hj. Cinthia Pradana, S.E.I",Andi Publisher,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang manajemen sistem basis data, perancangan basis data, serta normalisasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","database, data warehouse, manajemen data, sql",Indonesia,Fisik,268,978-1-5469-1373-3,6
BK00281,Perancangan Sistem Basis Data Edisi Revisi,"drg. Ulya Laksita, M.TI.",Pustaka Pelajar,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, manajemen sistem basis data, serta perancangan basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","manajemen data, basis data, normalisasi, data warehouse",Inggris,E-book,412,978-0-8214-8628-3,9999
BK00282,Manajemen Database NoSQL Modern,Cut Ellis Nababan,UI Press,2016,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang normalisasi data, perancangan basis data, serta query dan manipulasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","normalisasi, basis data, database, data warehouse",Indonesia,Fisik,296,978-0-307-05345-9,0
BK00283,Perancangan Sistem Basis Data,"Dr. Ophelia Widodo, S.IP",Rajawali Pers,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari perancangan basis data, manajemen sistem basis data, serta arsitektur data warehouse. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","data warehouse, manajemen data, sql, normalisasi",Indonesia,Fisik,437,978-0-579-72798-0,2
BK00284,Konsep Sistem Basis Data,"Jelita Marpaung, Tgk. Ulva Iswahyudi, S.Pd",Pustaka Pelajar,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami manajemen sistem basis data, arsitektur data warehouse, serta perancangan basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","data warehouse, normalisasi, basis data, database",Indonesia,E-book,477,978-1-02-933334-8,9999
BK00285,Pengantar Database NoSQL Relasional,"Hasan Mulyani, S.Ked",PT Grasindo,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang manajemen sistem basis data, normalisasi data, serta perancangan basis data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","manajemen data, sql, basis data, database",Indonesia,E-book,457,978-1-229-03494-6,9999
BK00286,Konsep Basis Data,"Titin Yuniar, S.T.",Deepublish,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami perancangan basis data, normalisasi data, serta manajemen sistem basis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","query, sql, normalisasi, manajemen data",Indonesia,E-book,354,978-1-57437-489-6,9999
BK00287,Konsep SQL Server,Restu Jailani,Kencana Prenada,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari perancangan basis data, normalisasi data, serta query dan manipulasi data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","data warehouse, normalisasi, nosql, sql",Indonesia,Fisik,440,978-1-899441-71-6,4
BK00288,Konsep Database NoSQL,"Ika Uyainah, Zelda Saefullah",Kencana Prenada,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami perancangan basis data, query dan manipulasi data, serta normalisasi data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","nosql, normalisasi, data warehouse, sql",Indonesia,Fisik,279,978-1-328-30965-5,5
BK00289,Manajemen SQL Server Modern Edisi Ke-2,"Cahyono Dongoran, M.Kom.",Graha Ilmu,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, manajemen sistem basis data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","normalisasi, query, sql, database",Indonesia,E-book,392,978-1-66609-935-5,9999
BK00290,Perancangan Sistem Basis Data,"Tania Prasetya, M.Pd, Purwanto Kusmawati, S.I.Kom",Rajawali Pers,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini mengulas berbagai aspek penting dari query dan manipulasi data, normalisasi data, serta manajemen sistem basis data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","basis data, query, database, normalisasi",Indonesia,Fisik,133,978-0-8241-7248-0,4
BK00291,Manajemen SQL Server Modern Edisi Revisi,"R.M. Warsita Zulaika, S.Psi",Salemba Empat,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, normalisasi data, serta perancangan basis data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","data warehouse, sql, manajemen data, nosql",Indonesia,Fisik,235,978-0-534-65549-5,0
BK00292,Konsep Sistem Basis Data,"Malika Lazuardi, Anastasia Usada",Kencana Prenada,2019,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang manajemen sistem basis data, query dan manipulasi data, serta normalisasi data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","normalisasi, query, sql, basis data",Inggris,Fisik,517,978-1-381-68460-7,0
BK00293,Data Warehouse: Teori dan Aplikasi,"R. Dina Pangestu, S.Psi",Erlangga,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami query dan manipulasi data, perancangan basis data, serta arsitektur data warehouse. Membantu pembaca membangun pemahaman konseptual maupun praktis.","basis data, manajemen data, data warehouse, normalisasi",Inggris,E-book,511,978-1-252-17525-8,9999
