,id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari)
902,TRX000903,USR00119,BK00992,2024-06-06,2024-06-20,2024-06-18,Dikembalikan,12.0
903,TRX000904,USR00006,BK00820,2024-08-24,2024-09-07,2024-08-31,Dikembalikan,7.0
904,TRX000905,USR00116,BK01162,2025-09-01,2025-09-15,2025-09-15,Dikembalikan,14.0
905,TRX000906,USR00020,BK00534,2023-12-12,2023-12-26,2023-12-31,Terlambat,19.0
906,TRX000907,USR00347,BK00761,2025-07-04,2025-07-18,2025-07-13,Dikembalikan,9.0
907,TRX000908,USR00009,BK00777,2024-08-05,2024-08-19,2024-08-18,Dikembalikan,13.0
908,TRX000909,USR00105,BK01320,2025-04-18,2025-05-02,2025-04-27,Dikembalikan,9.0
909,TRX000910,USR00162,BK00727,2023-07-06,2023-07-20,2023-07-10,Dikembalikan,4.0
910,TRX000911,USR00330,BK01293,2023-09-14,2023-09-28,2023-09-26,Dikembalikan,12.0
911,TRX000912,USR00343,BK00959,2023-06-03,2023-06-17,2023-06-13,Dikembalikan,10.0
912,TRX000913,USR00215,BK00051,2024-09-09,2024-09-23,2024-09-29,Terlambat,20.0
913,TRX000914,USR00147,BK00830,2023-12-22,2024-01-05,2024-01-01,Dikembalikan,10.0
914,TRX000915,USR00066,BK01031,2024-03-12,2024-03-26,2024-03-30,Terlambat,18.0
915,TRX000916,USR00122,BK01201,2025-04-10,2025-04-24,2025-04-28,Terlambat,18.0
916,TRX000917,USR00262,BK01233,2023-04-09,2023-04-23,2023-04-16,Dikembalikan,7.0
917,TRX000918,USR00130,BK00558,2025-08-25,2025-09-08,2025-08-31,Dikembalikan,6.0
918,TRX000919,USR00377,BK00169,2023-05-13,2023-05-27,2023-06-01,Terlambat,19.0
919,TRX000920,USR00230,BK00842,2023-03-18,2023-04-01,2023-04-06,Terlambat,19.0
920,TRX000921,USR00252,BK01318,2025-09-25,2025-10-09,2025-10-16,Terlambat,21.0
921,TRX000922,USR00190,BK00055,2025-04-01,2025-04-15,2025-04-12,Dikembalikan,11.0
922,TRX000923,USR00194,BK00049,2025-10-30,2025-11-13,2025-11-09,Dikembalikan,10.0
923,TRX000924,USR00031,BK00595,2023-12-20,2024-01-03,2024-01-01,Dikembalikan,12.0
924,TRX000925,USR00291,BK01118,2024-01-14,2024-01-28,2024-01-24,Dikembalikan,10.0
925,TRX000926,USR00189,BK00316,2025-10-11,2025-10-25,2025-10-28,Terlambat,17.0
926,TRX000927,USR00181,BK00554,2023-10-29,2023-11-12,2023-11-11,Dikembalikan,13.0
927,TRX000928,USR00346,BK01209,2023-03-05,2023-03-19,2023-03-25,Terlambat,20.0
928,TRX000929,USR00174,BK00127,2025-04-11,2025-04-25,2025-04-29,Terlambat,18.0
929,TRX000930,USR00097,BK00435,2025-04-23,2025-05-07,2025-04-26,Dikembalikan,3.0
930,TRX000931,USR00330,BK01276,2024-02-21,2024-03-06,2024-03-12,Terlambat,20.0
931,TRX000932,USR00296,BK00948,2025-01-09,2025-01-23,2025-01-26,Terlambat,17.0
932,TRX000933,USR00208,BK00995,2025-12-20,2026-01-03,,Dipinjam,belum_kembali
933,TRX000934,USR00378,BK00714,2023-01-03,2023-01-17,2023-01-06,Dikembalikan,3.0
934,TRX000935,USR00147,BK01009,2025-07-04,2025-07-18,2025-07-08,Dikembalikan,4.0
935,TRX000936,USR00046,BK00158,2025-12-16,2025-12-30,,Dipinjam,belum_kembali
936,TRX000937,USR00259,BK01245,2025-05-03,2025-05-17,2025-05-19,Terlambat,16.0
937,TRX000938,USR00128,BK00893,2024-04-05,2024-04-19,2024-04-13,Dikembalikan,8.0
938,TRX000939,USR00017,BK00772,2023-03-13,2023-03-27,2023-04-03,Terlambat,21.0
939,TRX000940,USR00130,BK00171,2024-04-25,2024-05-09,2024-05-06,Dikembalikan,11.0
940,TRX000941,USR00040,BK01214,2025-06-10,2025-06-24,2025-06-28,Terlambat,18.0
941,TRX000942,USR00094,BK00164,2023-12-27,2024-01-10,2024-01-12,Terlambat,16.0
942,TRX000943,USR00335,BK00987,2024-07-04,2024-07-18,2024-07-17,Dikembalikan,13.0
943,TRX000944,USR00175,BK01079,2025-01-08,2025-01-22,2025-01-19,Dikembalikan,11.0
944,TRX000945,USR00010,BK00051,2025-07-03,2025-07-17,2025-07-24,Terlambat,21.0
945,TRX000946,USR00305,BK00298,2024-02-01,2024-02-15,2024-02-13,Dikembalikan,12.0
946,TRX000947,USR00356,BK01229,2025-06-14,2025-06-28,2025-06-22,Dikembalikan,8.0
947,TRX000948,USR00301,BK00827,2023-09-14,2023-09-28,2023-09-29,Terlambat,15.0
948,TRX000949,USR00238,BK00276,2024-12-08,2024-12-22,2024-12-16,Dikembalikan,8.0
949,TRX000950,USR00306,BK00066,2024-04-01,2024-04-15,2024-04-11,Dikembalikan,10.0
950,TRX000951,USR00045,BK00406,2025-08-03,2025-08-17,2025-08-14,Dikembalikan,11.0
951,TRX000952,USR00076,BK00777,2024-04-10,2024-04-24,2024-04-23,Dikembalikan,13.0
952,TRX000953,USR00277,BK00416,2024-07-10,2024-07-24,2024-07-27,Terlambat,17.0
953,TRX000954,USR00255,BK00760,2024-02-14,2024-02-28,2024-03-03,Terlambat,18.0
954,TRX000955,USR00302,BK00116,2023-05-07,2023-05-21,2023-05-21,Dikembalikan,14.0
955,TRX000956,USR00160,BK01074,2025-03-29,2025-04-12,2025-04-14,Terlambat,16.0
956,TRX000957,USR00313,BK00841,2025-10-05,2025-10-19,2025-10-21,Terlambat,16.0
957,TRX000958,USR00324,BK01054,2025-03-30,2025-04-13,2025-04-07,Dikembalikan,8.0
958,TRX000959,USR00217,BK00969,2024-04-17,2024-05-01,2024-05-04,Terlambat,17.0
959,TRX000960,USR00194,BK00485,2024-03-24,2024-04-07,2024-04-11,Terlambat,18.0
960,TRX000961,USR00099,BK01181,2023-07-28,2023-08-11,2023-08-01,Dikembalikan,4.0
961,TRX000962,USR00076,BK00765,2023-01-15,2023-01-29,2023-02-04,Terlambat,20.0
962,TRX000963,USR00191,BK01177,2024-05-29,2024-06-12,2024-06-02,Dikembalikan,4.0
963,TRX000964,USR00089,BK00434,2024-04-22,2024-05-06,2024-05-01,Dikembalikan,9.0
964,TRX000965,USR00296,BK00915,2025-12-28,2026-01-11,,Dipinjam,belum_kembali
965,TRX000966,USR00192,BK00834,2023-09-19,2023-10-03,2023-10-03,Dikembalikan,14.0
966,TRX000967,USR00246,BK00840,2023-01-26,2023-02-09,2023-02-06,Dikembalikan,11.0
967,TRX000968,USR00235,BK00584,2023-08-21,2023-09-04,2023-09-08,Terlambat,18.0
968,TRX000969,USR00073,BK00521,2023-02-03,2023-02-17,2023-02-18,Terlambat,15.0
969,TRX000970,USR00377,BK00074,2023-10-23,2023-11-06,2023-10-29,Dikembalikan,6.0
970,TRX000971,USR00058,BK00935,2025-08-07,2025-08-21,2025-08-15,Dikembalikan,8.0
971,TRX000972,USR00346,BK01227,2025-07-11,2025-07-25,2025-07-20,Dikembalikan,9.0
972,TRX000973,USR00241,BK00614,2025-05-27,2025-06-10,2025-06-15,Terlambat,19.0
973,TRX000974,USR00122,BK01223,2025-12-13,2025-12-27,2026-01-02,Terlambat,20.0
974,TRX000975,USR00075,BK00125,2025-08-17,2025-08-31,2025-09-05,Terlambat,19.0
975,TRX000976,USR00316,BK00629,2023-06-14,2023-06-28,2023-06-28,Dikembalikan,14.0
976,TRX000977,USR00364,BK00114,2025-05-11,2025-05-25,2025-05-25,Dikembalikan,14.0
977,TRX000978,USR00129,BK01099,2023-03-03,2023-03-17,2023-03-10,Dikembalikan,7.0
978,TRX000979,USR00108,BK00696,2023-03-17,2023-03-31,2023-04-01,Terlambat,15.0
979,TRX000980,USR00329,BK01190,2025-10-09,2025-10-23,2025-10-25,Terlambat,16.0
980,TRX000981,USR00138,BK01257,2025-12-25,2026-01-08,,Dipinjam,belum_kembali
981,TRX000982,USR00120,BK01240,2023-07-02,2023-07-16,2023-07-05,Dikembalikan,3.0
982,TRX000983,USR00070,BK00140,2025-02-19,2025-03-05,2025-02-27,Dikembalikan,8.0
983,TRX000984,USR00038,BK00705,2024-05-10,2024-05-24,2024-05-27,Terlambat,17.0
984,TRX000985,USR00174,BK01039,2024-04-11,2024-04-25,2024-04-22,Dikembalikan,11.0
985,TRX000986,USR00064,BK00380,2024-08-14,2024-08-28,2024-08-17,Dikembalikan,3.0
986,TRX000987,USR00124,BK01245,2025-04-29,2025-05-13,2025-05-13,Dikembalikan,14.0
987,TRX000988,USR00344,BK00977,2025-08-20,2025-09-03,2025-08-24,Dikembalikan,4.0
988,TRX000989,USR00343,BK00956,2023-02-02,2023-02-16,2023-02-09,Dikembalikan,7.0
989,TRX000990,USR00006,BK01377,2024-02-22,2024-03-07,2024-03-08,Terlambat,15.0
990,TRX000991,USR00187,BK00569,2024-12-19,2025-01-02,2025-01-03,Terlambat,15.0
991,TRX000992,USR00367,BK01135,2023-12-15,2023-12-29,2023-12-24,Dikembalikan,9.0
992,TRX000993,USR00253,BK01187,2023-05-14,2023-05-28,2023-05-30,Terlambat,16.0
993,TRX000994,USR00140,BK01280,2023-09-11,2023-09-25,2023-09-15,Dikembalikan,4.0
994,TRX000995,USR00374,BK00494,2025-03-22,2025-04-05,2025-03-25,Dikembalikan,3.0
995,TRX000996,USR00315,BK00754,2025-04-26,2025-05-10,2025-05-08,Dikembalikan,12.0
996,TRX000997,USR00024,BK00800,2024-02-09,2024-02-23,2024-02-27,Terlambat,18.0
997,TRX000998,USR00321,BK00451,2023-07-07,2023-07-21,2023-07-25,Terlambat,18.0
998,TRX000999,USR00011,BK00468,2023-02-17,2023-03-03,2023-02-26,Dikembalikan,9.0
999,TRX001000,USR00035,BK00099,2023-08-09,2023-08-23,2023-08-12,Dikembalikan,3.0
1000,TRX001001,USR00331,BK00967,2024-07-10,2024-07-24,2024-07-26,Terlambat,16.0
1001,TRX001002,USR00249,BK00775,2024-03-13,2024-03-27,2024-03-23,Dikembalikan,10.0
1002,TRX001003,USR00161,BK00894,2024-10-28,2024-11-11,2024-11-04,Dikembalikan,7.0
1003,TRX001004,USR00182,BK00630,2025-03-07,2025-03-21,2025-03-23,Terlambat,16.0
1004,TRX001005,USR00208,BK00947,2024-09-12,2024-09-26,2024-09-29,Terlambat,17.0
1005,TRX001006,USR00049,BK00274,2025-10-26,2025-11-09,2025-11-05,Dikembalikan,10.0
1006,TRX001007,USR00244,BK00389,2024-12-27,2025-01-10,2024-12-31,Dikembalikan,4.0
1007,TRX001008,USR00004,BK01042,2024-03-14,2024-03-28,2024-04-02,Terlambat,19.0
1008,TRX001009,USR00374,BK00543,2024-05-05,2024-05-19,2024-05-09,Dikembalikan,4.0
1009,TRX001010,USR00091,BK00958,2024-07-28,2024-08-11,2024-08-12,Terlambat,15.0
1010,TRX001011,USR00229,BK00145,2023-12-05,2023-12-19,2023-12-16,Dikembalikan,11.0
1011,TRX001012,USR00090,BK01373,2025-01-03,2025-01-17,2025-01-14,Dikembalikan,11.0
1012,TRX001013,USR00214,BK00547,2024-01-18,2024-02-01,2024-01-24,Dikembalikan,6.0
1013,TRX001014,USR00281,BK00543,2025-10-30,2025-11-13,2025-11-16,Terlambat,17.0
1014,TRX001015,USR00349,BK00881,2024-09-27,2024-10-11,2024-10-13,Terlambat,16.0
1015,TRX001016,USR00047,BK00459,2024-09-05,2024-09-19,2024-09-26,Terlambat,21.0
1016,TRX001017,USR00141,BK00515,2024-06-15,2024-06-29,2024-07-02,Terlambat,17.0
1017,TRX001018,USR00271,BK00413,2023-09-08,2023-09-22,2023-09-13,Dikembalikan,5.0
1018,TRX001019,USR00006,BK00798,2023-04-01,2023-04-15,2023-04-11,Dikembalikan,10.0
1019,TRX001020,USR00038,BK00539,2025-04-09,2025-04-23,2025-04-22,Dikembalikan,13.0
1020,TRX001021,USR00210,BK01218,2025-10-26,2025-11-09,2025-10-31,Dikembalikan,5.0
1021,TRX001022,USR00007,BK01265,2023-04-01,2023-04-15,2023-04-05,Dikembalikan,4.0
1022,TRX001023,USR00109,BK00581,2025-12-03,2025-12-17,2025-12-13,Dikembalikan,10.0
1023,TRX001024,USR00184,BK00103,2025-05-01,2025-05-15,2025-05-16,Terlambat,15.0
1024,TRX001025,USR00049,BK01326,2023-01-01,2023-01-15,2023-01-04,Dikembalikan,3.0
1025,TRX001026,USR00352,BK01353,2024-01-31,2024-02-14,2024-02-19,Terlambat,19.0
1026,TRX001027,USR00343,BK00904,2023-05-21,2023-06-04,2023-05-29,Dikembalikan,8.0
1027,TRX001028,USR00015,BK00998,2025-08-11,2025-08-25,2025-08-17,Dikembalikan,6.0
1028,TRX001029,USR00338,BK00771,2023-04-23,2023-05-07,2023-05-08,Terlambat,15.0
1029,TRX001030,USR00119,BK01187,2023-07-05,2023-07-19,2023-07-17,Dikembalikan,12.0
1030,TRX001031,USR00353,BK00008,2023-08-26,2023-09-09,2023-09-04,Dikembalikan,9.0
1031,TRX001032,USR00287,BK00076,2023-03-16,2023-03-30,2023-03-30,Dikembalikan,14.0
1032,TRX001033,USR00287,BK00157,2024-03-31,2024-04-14,2024-04-21,Terlambat,21.0
1033,TRX001034,USR00286,BK00382,2023-06-07,2023-06-21,2023-06-25,Terlambat,18.0
1034,TRX001035,USR00219,BK01344,2024-02-22,2024-03-07,2024-03-01,Dikembalikan,8.0
1035,TRX001036,USR00118,BK00786,2025-01-18,2025-02-01,2025-01-21,Dikembalikan,3.0
1036,TRX001037,USR00109,BK00589,2023-06-21,2023-07-05,2023-06-28,Dikembalikan,7.0
1037,TRX001038,USR00297,BK01182,2023-06-02,2023-06-16,2023-06-11,Dikembalikan,9.0
1038,TRX001039,USR00233,BK00584,2023-03-28,2023-04-11,2023-04-18,Terlambat,21.0
1039,TRX001040,USR00009,BK00361,2024-06-27,2024-07-11,2024-07-01,Dikembalikan,4.0
1040,TRX001041,USR00269,BK00853,2024-03-12,2024-03-26,2024-03-30,Terlambat,18.0
1041,TRX001042,USR00279,BK00500,2025-10-12,2025-10-26,2025-10-26,Dikembalikan,14.0
1042,TRX001043,USR00320,BK00757,2024-06-06,2024-06-20,2024-06-26,Terlambat,20.0
1043,TRX001044,USR00367,BK01165,2025-04-28,2025-05-12,2025-05-05,Dikembalikan,7.0
1044,TRX001045,USR00125,BK01032,2025-03-06,2025-03-20,2025-03-27,Terlambat,21.0
1045,TRX001046,USR00299,BK00756,2025-05-29,2025-06-12,2025-06-11,Dikembalikan,13.0
1046,TRX001047,USR00223,BK00723,2023-04-09,2023-04-23,2023-04-14,Dikembalikan,5.0
1047,TRX001048,USR00084,BK01222,2023-09-27,2023-10-11,2023-10-07,Dikembalikan,10.0
1048,TRX001049,USR00232,BK00241,2024-02-05,2024-02-19,2024-02-09,Dikembalikan,4.0
1049,TRX001050,USR00247,BK00418,2025-11-06,2025-11-20,2025-11-24,Terlambat,18.0
1050,TRX001051,USR00360,BK00931,2024-03-28,2024-04-11,2024-04-03,Dikembalikan,6.0
1051,TRX001052,USR00212,BK01148,2024-11-29,2024-12-13,2024-12-15,Terlambat,16.0
1052,TRX001053,USR00067,BK01239,2023-08-04,2023-08-18,2023-08-07,Dikembalikan,3.0
1053,TRX001054,USR00035,BK00008,2023-08-09,2023-08-23,2023-08-30,Terlambat,21.0
1054,TRX001055,USR00083,BK00856,2023-04-10,2023-04-24,2023-04-22,Dikembalikan,12.0
1055,TRX001056,USR00012,BK00535,2023-04-11,2023-04-25,2023-04-20,Dikembalikan,9.0
1056,TRX001057,USR00252,BK01364,2025-04-09,2025-04-23,2025-04-20,Dikembalikan,11.0
1057,TRX001058,USR00253,BK01313,2023-01-28,2023-02-11,2023-02-08,Dikembalikan,11.0
1058,TRX001059,USR00019,BK00320,2023-06-04,2023-06-18,2023-06-22,Terlambat,18.0
1059,TRX001060,USR00278,BK01352,2024-07-13,2024-07-27,2024-07-29,Terlambat,16.0
1060,TRX001061,USR00280,BK00745,2023-03-03,2023-03-17,2023-03-18,Terlambat,15.0
1061,TRX001062,USR00128,BK01315,2024-11-11,2024-11-25,2024-11-30,Terlambat,19.0
1062,TRX001063,USR00362,BK00793,2025-07-24,2025-08-07,2025-08-04,Dikembalikan,11.0
1063,TRX001064,USR00284,BK00743,2023-03-25,2023-04-08,2023-04-12,Terlambat,18.0
1064,TRX001065,USR00147,BK01021,2023-10-21,2023-11-04,2023-10-24,Dikembalikan,3.0
1065,TRX001066,USR00363,BK00916,2025-06-26,2025-07-10,2025-07-12,Terlambat,16.0
1066,TRX001067,USR00167,BK01240,2025-12-28,2026-01-11,,Dipinjam,belum_kembali
1067,TRX001068,USR00211,BK00985,2023-06-25,2023-07-09,2023-07-09,Dikembalikan,14.0
1068,TRX001069,USR00278,BK00426,2024-08-08,2024-08-22,2024-08-26,Terlambat,18.0
1069,TRX001070,USR00016,BK01214,2024-08-24,2024-09-07,2024-09-08,Terlambat,15.0
1070,TRX001071,USR00197,BK00628,2023-10-03,2023-10-17,2023-10-18,Terlambat,15.0
1071,TRX001072,USR00157,BK00676,2023-06-23,2023-07-07,2023-06-29,Dikembalikan,6.0
1072,TRX001073,USR00263,BK00391,2025-06-10,2025-06-24,2025-06-13,Dikembalikan,3.0
1073,TRX001074,USR00156,BK00315,2024-07-07,2024-07-21,2024-07-22,Terlambat,15.0
1074,TRX001075,USR00236,BK00675,2025-09-16,2025-09-30,2025-09-20,Dikembalikan,4.0
1075,TRX001076,USR00362,BK01341,2025-10-02,2025-10-16,2025-10-14,Dikembalikan,12.0
1076,TRX001077,USR00010,BK00054,2023-09-28,2023-10-12,2023-10-07,Dikembalikan,9.0
1077,TRX001078,USR00301,BK00801,2024-01-03,2024-01-17,2024-01-12,Dikembalikan,9.0
1078,TRX001079,USR00219,BK00967,2023-03-11,2023-03-25,2023-03-14,Dikembalikan,3.0
1079,TRX001080,USR00219,BK01371,2025-03-10,2025-03-24,2025-03-15,Dikembalikan,5.0
1080,TRX001081,USR00094,BK00790,2023-04-26,2023-05-10,2023-05-09,Dikembalikan,13.0
1081,TRX001082,USR00180,BK00013,2024-04-11,2024-04-25,2024-04-24,Dikembalikan,13.0
1082,TRX001083,USR00015,BK01167,2025-11-20,2025-12-04,2025-12-01,Dikembalikan,11.0
1083,TRX001084,USR00304,BK01024,2024-08-13,2024-08-27,2024-08-20,Dikembalikan,7.0
1084,TRX001085,USR00233,BK01026,2023-09-11,2023-09-25,2023-09-14,Dikembalikan,3.0
1085,TRX001086,USR00183,BK01055,2024-07-08,2024-07-22,2024-07-19,Dikembalikan,11.0
1086,TRX001087,USR00117,BK01224,2024-07-21,2024-08-04,2024-07-26,Dikembalikan,5.0
1087,TRX001088,USR00190,BK00238,2025-09-21,2025-10-05,2025-10-10,Terlambat,19.0
1088,TRX001089,USR00376,BK00325,2024-02-08,2024-02-22,2024-02-25,Terlambat,17.0
1089,TRX001090,USR00031,BK00645,2024-09-14,2024-09-28,2024-09-18,Dikembalikan,4.0
1090,TRX001091,USR00267,BK00613,2025-05-24,2025-06-07,2025-06-12,Terlambat,19.0
1091,TRX001092,USR00124,BK01323,2025-10-25,2025-11-08,2025-10-31,Dikembalikan,6.0
1092,TRX001093,USR00173,BK00297,2025-02-23,2025-03-09,2025-03-02,Dikembalikan,7.0
1093,TRX001094,USR00193,BK01267,2024-12-05,2024-12-19,2024-12-22,Terlambat,17.0
1094,TRX001095,USR00350,BK00970,2024-03-20,2024-04-03,2024-04-02,Dikembalikan,13.0
1095,TRX001096,USR00146,BK00650,2024-12-11,2024-12-25,2024-12-18,Dikembalikan,7.0
1096,TRX001097,USR00273,BK00759,2024-02-05,2024-02-19,2024-02-23,Terlambat,18.0
1097,TRX001098,USR00251,BK00796,2024-08-28,2024-09-11,2024-09-05,Dikembalikan,8.0
1098,TRX001099,USR00112,BK00433,2025-08-12,2025-08-26,2025-08-31,Terlambat,19.0
1099,TRX001100,USR00203,BK00794,2023-02-21,2023-03-07,2023-03-06,Dikembalikan,13.0
1100,TRX001101,USR00015,BK01238,2025-12-15,2025-12-29,2025-12-23,Dikembalikan,8.0
1101,TRX001102,USR00081,BK00295,2025-06-22,2025-07-06,2025-07-07,Terlambat,15.0
1102,TRX001103,USR00160,BK01194,2025-12-26,2026-01-09,,Dipinjam,belum_kembali
1103,TRX001104,USR00048,BK01375,2024-09-04,2024-09-18,2024-09-17,Dikembalikan,13.0
1104,TRX001105,USR00049,BK01246,2025-07-03,2025-07-17,2025-07-08,Dikembalikan,5.0
1105,TRX001106,USR00328,BK00348,2024-10-03,2024-10-17,2024-10-12,Dikembalikan,9.0
1106,TRX001107,USR00131,BK00753,2025-01-07,2025-01-21,2025-01-16,Dikembalikan,9.0
1107,TRX001108,USR00236,BK00586,2025-03-22,2025-04-05,2025-03-29,Dikembalikan,7.0
1108,TRX001109,USR00039,BK00968,2023-06-18,2023-07-02,2023-06-29,Dikembalikan,11.0
1109,TRX001110,USR00266,BK01081,2023-09-07,2023-09-21,2023-09-10,Dikembalikan,3.0
1110,TRX001111,USR00179,BK00553,2024-12-29,2025-01-12,2025-01-05,Dikembalikan,7.0
1111,TRX001112,USR00108,BK00641,2024-12-22,2025-01-05,2025-01-08,Terlambat,17.0
1112,TRX001113,USR00316,BK00123,2023-07-18,2023-08-01,2023-07-24,Dikembalikan,6.0
1113,TRX001114,USR00094,BK00226,2024-05-12,2024-05-26,2024-05-23,Dikembalikan,11.0
1114,TRX001115,USR00041,BK01341,2023-12-04,2023-12-18,2023-12-20,Terlambat,16.0
1115,TRX001116,USR00189,BK00332,2023-02-21,2023-03-07,2023-02-25,Dikembalikan,4.0
1116,TRX001117,USR00046,BK00072,2024-09-11,2024-09-25,2024-09-21,Dikembalikan,10.0
1117,TRX001118,USR00263,BK00334,2025-04-26,2025-05-10,2025-05-01,Dikembalikan,5.0
1118,TRX001119,USR00164,BK00421,2025-09-02,2025-09-16,2025-09-21,Terlambat,19.0
1119,TRX001120,USR00171,BK00798,2023-09-25,2023-10-09,2023-10-01,Dikembalikan,6.0
1120,TRX001121,USR00264,BK00535,2024-03-21,2024-04-04,2024-04-07,Terlambat,17.0
1121,TRX001122,USR00234,BK00959,2024-08-13,2024-08-27,2024-09-03,Terlambat,21.0
1122,TRX001123,USR00321,BK00325,2024-03-07,2024-03-21,2024-03-16,Dikembalikan,9.0
1123,TRX001124,USR00038,BK00676,2024-06-24,2024-07-08,2024-07-14,Terlambat,20.0
1124,TRX001125,USR00157,BK01250,2024-02-28,2024-03-13,2024-03-05,Dikembalikan,6.0
1125,TRX001126,USR00300,BK00983,2025-12-11,2025-12-25,2025-12-20,Dikembalikan,9.0
1126,TRX001127,USR00106,BK00112,2025-07-30,2025-08-13,2025-08-17,Terlambat,18.0
1127,TRX001128,USR00048,BK01243,2025-07-29,2025-08-12,2025-08-01,Dikembalikan,3.0
1128,TRX001129,USR00182,BK00582,2024-12-24,2025-01-07,2025-01-08,Terlambat,15.0
1129,TRX001130,USR00251,BK00936,2023-11-28,2023-12-12,2023-12-18,Terlambat,20.0
1130,TRX001131,USR00379,BK01362,2023-09-18,2023-10-02,2023-09-24,Dikembalikan,6.0
1131,TRX001132,USR00272,BK00288,2025-10-28,2025-11-11,2025-11-13,Terlambat,16.0
1132,TRX001133,USR00045,BK00705,2024-06-19,2024-07-03,2024-07-06,Terlambat,17.0
1133,TRX001134,USR00093,BK00334,2024-02-26,2024-03-11,2024-03-06,Dikembalikan,9.0
1134,TRX001135,USR00313,BK00119,2025-01-07,2025-01-21,2025-01-28,Terlambat,21.0
1135,TRX001136,USR00366,BK00826,2023-03-17,2023-03-31,2023-04-01,Terlambat,15.0
1136,TRX001137,USR00087,BK00895,2024-12-22,2025-01-05,2025-01-01,Dikembalikan,10.0
1137,TRX001138,USR00070,BK00293,2024-06-25,2024-07-09,2024-07-04,Dikembalikan,9.0
1138,TRX001139,USR00292,BK00585,2023-07-07,2023-07-21,2023-07-13,Dikembalikan,6.0
1139,TRX001140,USR00005,BK01025,2025-06-05,2025-06-19,2025-06-19,Dikembalikan,14.0
1140,TRX001141,USR00199,BK00511,2025-03-07,2025-03-21,2025-03-17,Dikembalikan,10.0
1141,TRX001142,USR00079,BK00756,2024-09-20,2024-10-04,2024-10-10,Terlambat,20.0
1142,TRX001143,USR00052,BK00194,2025-02-09,2025-02-23,2025-02-20,Dikembalikan,11.0
1143,TRX001144,USR00136,BK00880,2025-04-21,2025-05-05,2025-05-04,Dikembalikan,13.0
1144,TRX001145,USR00199,BK00330,2025-02-01,2025-02-15,2025-02-22,Terlambat,21.0
1145,TRX001146,USR00056,BK01195,2025-10-20,2025-11-03,2025-11-10,Terlambat,21.0
1146,TRX001147,USR00326,BK00345,2024-03-03,2024-03-17,2024-03-19,Terlambat,16.0
1147,TRX001148,USR00070,BK00194,2023-12-30,2024-01-13,2024-01-17,Terlambat,18.0
1148,TRX001149,USR00016,BK01203,2025-01-19,2025-02-02,2025-02-09,Terlambat,21.0
1149,TRX001150,USR00203,BK01357,2024-09-24,2024-10-08,2024-09-29,Dikembalikan,5.0
1150,TRX001151,USR00238,BK00125,2024-03-26,2024-04-09,2024-04-15,Terlambat,20.0
1151,TRX001152,USR00146,BK00461,2024-01-02,2024-01-16,2024-01-18,Terlambat,16.0
1152,TRX001153,USR00239,BK01092,2024-01-29,2024-02-12,2024-02-07,Dikembalikan,9.0
1153,TRX001154,USR00154,BK00988,2025-04-11,2025-04-25,2025-04-17,Dikembalikan,6.0
1154,TRX001155,USR00356,BK01179,2024-04-03,2024-04-17,2024-04-09,Dikembalikan,6.0
1155,TRX001156,USR00206,BK00533,2024-01-11,2024-01-25,2024-01-20,Dikembalikan,9.0
1156,TRX001157,USR00091,BK01026,2024-06-19,2024-07-03,2024-07-10,Terlambat,21.0
1157,TRX001158,USR00290,BK00481,2023-07-19,2023-08-02,2023-08-03,Terlambat,15.0
1158,TRX001159,USR00234,BK00985,2024-05-27,2024-06-10,2024-06-13,Terlambat,17.0
1159,TRX001160,USR00290,BK00511,2024-12-02,2024-12-16,2024-12-20,Terlambat,18.0
1160,TRX001161,USR00077,BK01193,2025-02-19,2025-03-05,2025-03-08,Terlambat,17.0
1161,TRX001162,USR00150,BK01183,2023-03-16,2023-03-30,2023-04-06,Terlambat,21.0
1162,TRX001163,USR00027,BK00211,2024-02-01,2024-02-15,2024-02-18,Terlambat,17.0
1163,TRX001164,USR00169,BK01121,2023-04-28,2023-05-12,2023-05-12,Dikembalikan,14.0
1164,TRX001165,USR00120,BK01341,2024-06-30,2024-07-14,2024-07-14,Dikembalikan,14.0
1165,TRX001166,USR00333,BK01255,2025-01-11,2025-01-25,2025-01-28,Terlambat,17.0
1166,TRX001167,USR00295,BK00131,2025-08-14,2025-08-28,2025-08-17,Dikembalikan,3.0
1167,TRX001168,USR00262,BK01241,2025-08-13,2025-08-27,2025-08-31,Terlambat,18.0
1168,TRX001169,USR00259,BK01173,2025-04-27,2025-05-11,2025-04-30,Dikembalikan,3.0
1169,TRX001170,USR00253,BK01221,2025-04-12,2025-04-26,2025-05-01,Terlambat,19.0
1170,TRX001171,USR00068,BK00053,2023-05-09,2023-05-23,2023-05-13,Dikembalikan,4.0
1171,TRX001172,USR00127,BK00651,2024-02-15,2024-02-29,2024-02-29,Dikembalikan,14.0
1172,TRX001173,USR00311,BK00434,2024-03-11,2024-03-25,2024-03-20,Dikembalikan,9.0
1173,TRX001174,USR00086,BK00324,2025-10-13,2025-10-27,2025-10-17,Dikembalikan,4.0
1174,TRX001175,USR00220,BK01207,2025-05-18,2025-06-01,2025-06-01,Dikembalikan,14.0
1175,TRX001176,USR00076,BK00332,2024-11-16,2024-11-30,2024-12-05,Terlambat,19.0
