,id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari),judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok
407,TRX001099,USR00112,BK00433,2025-08-12,2025-08-26,2025-08-31,Terlambat,19.0,Manajemen Manajemen Logistik,"R. Jabal Hasanah, Cut Hesti Maryati, M.Pd",Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Ergonomi & Rantai Pasok,"Buku ini membahas secara mendalam tentang optimalisasi jaringan logistik, analisis ergonomi tempat kerja, serta manajemen rantai pasok dan distribusi. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","analisis beban kerja, ergonomi, rantai pasok, k3",Indonesia,Fisik,227,978-0-86803-476-8,8
408,TRX001102,USR00081,BK00295,2025-06-22,2025-07-06,2025-07-07,Terlambat,15.0,Perancangan Database NoSQL,"Ikhsan Waskita, S.Farm",Nuha Medika,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini memberikan pemahaman menyeluruh tentang query dan manipulasi data, perancangan basis data, serta arsitektur data warehouse. Membantu pembaca membangun pemahaman konseptual maupun praktis.","database, normalisasi, query, data warehouse",Indonesia,Fisik,285,978-1-00-835058-8,2
409,TRX001112,USR00108,BK00641,2024-12-22,2025-01-05,2025-01-08,Terlambat,17.0,Panduan Farmasi Komunitas,Pandu Yulianti,Rajawali Pers,2021,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini membahas secara mendalam tentang pelayanan kefarmasian di rumah sakit, manajemen obat dan compounding, serta standar pelayanan farmasi profesional. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","farmasi komunitas, teknologi farmasi, sediaan farmasi, farmasi rumah sakit",Indonesia,Fisik,344,978-0-7156-9562-3,1
410,TRX001115,USR00041,BK01341,2023-12-04,2023-12-18,2023-12-20,Terlambat,16.0,Praktik Komunikasi Digital Edisi Revisi,"R.M. Setya Usamah, M.TI.",Graha Ilmu,2021,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Jurnalistik & Media Digital,"Buku ini dirancang sebagai panduan untuk memahami komunikasi digital dan audiens, produksi berita di media digital, serta etika jurnalistik di era digital. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","jurnalistik, media sosial, konten kreator, produksi berita",Inggris,Fisik,185,978-1-62053-440-3,5
411,TRX001119,USR00164,BK00421,2025-09-02,2025-09-16,2025-09-21,Terlambat,19.0,Manajemen Keselamatan dan Kesehatan Kerja,"Sarah Megantara, Tami Winarsih, S.Ked",Andi Publisher,2007,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Ergonomi & Rantai Pasok,"Buku ini memberikan pemahaman menyeluruh tentang analisis ergonomi tempat kerja, manajemen rantai pasok dan distribusi, serta pengendalian persediaan barang. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","logistik, distribusi, supply chain, k3",Indonesia,Fisik,186,978-0-420-43940-6,7
412,TRX001121,USR00264,BK00535,2024-03-21,2024-04-04,2024-04-07,Terlambat,17.0,Asuhan Keperawatan Anak,"Kasusra Prastuti, Yuni Megantara",Nuha Medika,2014,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini mengulas berbagai aspek penting dari asuhan keperawatan pasien, penanganan kondisi darurat medis, serta prosedur klinis keperawatan. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","keperawatan, keperawatan medikal bedah, keperawatan anak, praktik klinis",Indonesia,E-book,335,978-0-8457-6521-0,9999
413,TRX001122,USR00234,BK00959,2024-08-13,2024-08-27,2024-09-03,Terlambat,21.0,Dasar-Dasar Material dan Furnitur,"Puti Amelia Handayani, S.Gz",UI Press,2008,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini membahas secara mendalam tentang konsep arsitektur ruang dalam modern, perancangan tata ruang interior, serta prinsip pencahayaan dan estetika ruang. Membantu pembaca membangun pemahaman konseptual maupun praktis.","desain interior, ergonomi ruang, tata ruang, pencahayaan ruang",Inggris,Fisik,195,978-0-8439-0552-6,0
414,TRX001124,USR00038,BK00676,2024-06-24,2024-07-08,2024-07-14,Terlambat,20.0,Teknologi Pelayanan Kefarmasian,Qori Hartati,Rajawali Pers,2011,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang standar pelayanan farmasi profesional, pelayanan kefarmasian di rumah sakit, serta manajemen obat dan compounding. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","farmasi rumah sakit, pelayanan kefarmasian, farmasi komunitas, sediaan farmasi",Indonesia,Fisik,201,978-0-218-20970-9,6
415,TRX001127,USR00106,BK00112,2025-07-30,2025-08-13,2025-08-17,Terlambat,18.0,Aplikasi Data Mining di Industri Edisi Revisi,Cut Kamila Mayasari,Bumi Aksara,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini mengulas berbagai aspek penting dari jaringan saraf tiruan, otomatisasi cerdas, serta pembelajaran mesin. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","data science, kecerdasan buatan, deep learning, machine learning",Indonesia,Fisik,265,978-1-77005-411-0,7
416,TRX001129,USR00182,BK00582,2024-12-24,2025-01-07,2025-01-08,Terlambat,15.0,Prinsip Farmasetika,Drs. Harjaya Sihombing,Pustaka Pelajar,2024,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Farmakologi & Kefarmasian,"Buku ini mengulas berbagai aspek penting dari mekanisme kerja obat, formulasi sediaan farmasi, serta interaksi obat dalam tubuh. Membantu pembaca membangun pemahaman konseptual maupun praktis.","kimia farmasi, farmasi klinis, apoteker, toksikologi",Indonesia,Fisik,471,978-1-280-92428-6,8
417,TRX001130,USR00251,BK00936,2023-11-28,2023-12-12,2023-12-18,Terlambat,20.0,Teknik Desain Multimedia Edisi Ke-2,"drg. Safina Wacana, S.E.I",PT Grasindo,2021,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini mengulas berbagai aspek penting dari teknik pengambilan gambar fotografi, animasi dan motion graphic, serta produksi konten multimedia digital. Membantu pembaca membangun pemahaman konseptual maupun praktis.","motion graphic, editing visual, videografi, multimedia",Inggris,E-book,437,978-0-11-860089-7,9999
418,TRX001132,USR00272,BK00288,2025-10-28,2025-11-11,2025-11-13,Terlambat,16.0,Konsep Database NoSQL,"Ika Uyainah, Zelda Saefullah",Kencana Prenada,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini dirancang sebagai panduan untuk memahami perancangan basis data, query dan manipulasi data, serta normalisasi data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","nosql, normalisasi, data warehouse, sql",Indonesia,Fisik,279,978-1-328-30965-5,5
419,TRX001133,USR00045,BK00705,2024-06-19,2024-07-03,2024-07-06,Terlambat,17.0,Teknologi Farmasi Komunitas,Uli Wahyudin,Rajawali Pers,2023,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini menyajikan kajian komprehensif mengenai manajemen obat dan compounding, standar pelayanan farmasi profesional, serta pelayanan kefarmasian di rumah sakit. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","farmasi rumah sakit, pelayanan kefarmasian, teknologi farmasi, farmasi komunitas",Indonesia,Fisik,379,978-1-4916-0169-3,8
420,TRX001135,USR00313,BK00119,2025-01-07,2025-01-21,2025-01-28,Terlambat,21.0,Pengantar Data Science Edisi Terbaru,"drg. Eva Marpaung, Radika Oktaviani",Salemba Empat,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini memberikan pemahaman menyeluruh tentang analisis data besar, jaringan saraf tiruan, serta prediksi berbasis data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","data science, artificial intelligence, big data, kecerdasan buatan",Indonesia,Fisik,211,978-1-06-537947-8,8
421,TRX001136,USR00366,BK00826,2023-03-17,2023-03-31,2023-04-01,Terlambat,15.0,Pengantar Tipografi Edisi Ke-3,Karman Rajasa,Erlangga,2024,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Desain Komunikasi Visual & Ilustrasi,"Buku ini menyajikan kajian komprehensif mengenai proses kreatif desain grafis, prinsip visual dan tipografi, serta strategi branding melalui visual. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","tipografi, ilustrasi, seni rupa, branding",Indonesia,Fisik,189,978-0-908088-23-2,0
422,TRX001142,USR00079,BK00756,2024-09-20,2024-10-04,2024-10-10,Terlambat,20.0,Keperawatan Komprehensif: Praktik Klinis Lanjutan,H. Virman Wibisono,Deepublish,2015,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini menyajikan kajian komprehensif mengenai etika dan profesionalisme keperawatan, residensi dan pembelajaran klinik lanjutan, serta praktik klinik keperawatan profesional. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","evidence based practice, kompetensi ners, keperawatan komprehensif, residensi keperawatan",Inggris,E-book,341,978-0-10-225803-5,9999
423,TRX001145,USR00199,BK00330,2025-02-01,2025-02-15,2025-02-22,Terlambat,21.0,Optimalisasi Manajemen Kualitas Edisi Revisi,"KH. Kacung Hassanah, Aurora Sihombing",Alfabeta,2017,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Teknik Industri & Manajemen Operasi,"Buku ini membahas secara mendalam tentang perencanaan dan pengendalian produksi, optimalisasi proses produksi, serta manajemen kualitas dan produktivitas. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","manajemen kualitas, perencanaan produksi, tata letak pabrik, teknik industri",Indonesia,E-book,288,978-1-81128-801-6,9999
424,TRX001146,USR00056,BK01195,2025-10-20,2025-11-03,2025-11-10,Terlambat,21.0,Konsep Psikologi Kepribadian Modern Edisi Terbaru,"H. Lanjar Purwanti, M.Ak",Bumi Aksara,2015,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini membahas secara mendalam tentang dinamika interaksi sosial manusia, perilaku dan proses mental manusia, serta intervensi psikoterapi klinis. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","psikologi sosial, kepribadian, perkembangan manusia, psikologi klinis",Indonesia,E-book,128,978-1-5175-8891-5,9999
425,TRX001147,USR00326,BK00345,2024-03-03,2024-03-17,2024-03-19,Terlambat,16.0,Optimalisasi Tata Letak Pabrik,Gina Gunarto,UI Press,2009,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Teknik Industri & Manajemen Operasi,"Buku ini memberikan pemahaman menyeluruh tentang perancangan sistem kerja industri, efisiensi tata letak fasilitas pabrik, serta manajemen kualitas dan produktivitas. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","manajemen operasi, tata letak pabrik, perencanaan produksi, efisiensi kerja",Indonesia,Fisik,451,978-1-67700-518-5,1
426,TRX001148,USR00070,BK00194,2023-12-30,2024-01-13,2024-01-17,Terlambat,18.0,Kriptografi: Prinsip dan Praktik,"dr. Anita Pranowo, M.Farm",Pustaka Pelajar,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Jaringan & Keamanan Siber,"Buku ini dirancang sebagai panduan untuk memahami proteksi data digital, ancaman siber, serta protokol komunikasi data. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","hacking etis, protokol jaringan, jaringan komputer, enkripsi",Indonesia,Fisik,203,978-1-142-93968-7,4
427,TRX001149,USR00016,BK01203,2025-01-19,2025-02-02,2025-02-09,Terlambat,21.0,Pengantar Psikologi Perkembangan,T. Cagak Kuswoyo,Elex Media Komputindo,2005,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini memberikan pemahaman menyeluruh tentang perkembangan kepribadian individu, gangguan psikologis dan penanganannya, serta perilaku dan proses mental manusia. Membantu pembaca membangun pemahaman konseptual maupun praktis.","psikoterapi, psikologi sosial, psikologi klinis, psikologi",Indonesia,Fisik,135,978-0-09-001594-8,2
428,TRX001151,USR00238,BK00125,2024-03-26,2024-04-09,2024-04-15,Terlambat,20.0,Computer Vision: Teori dan Praktik,H. Lulut Nuraini,Kencana Prenada,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini menyajikan kajian komprehensif mengenai analisis data besar, kecerdasan buatan, serta pembelajaran mesin. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","kecerdasan buatan, data mining, deep learning, data science",Indonesia,Fisik,242,978-0-434-10369-0,8
429,TRX001152,USR00146,BK00461,2024-01-02,2024-01-16,2024-01-18,Terlambat,16.0,Pengantar Manajemen Persediaan,Nova Dabukke,Elex Media Komputindo,2014,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Ergonomi & Rantai Pasok,"Buku ini dirancang sebagai panduan untuk memahami keselamatan dan kesehatan kerja industri, optimalisasi jaringan logistik, serta analisis ergonomi tempat kerja. Membantu pembaca membangun pemahaman konseptual maupun praktis.","supply chain, distribusi, rantai pasok, k3",Inggris,Fisik,223,978-1-157-72459-9,0
430,TRX001157,USR00091,BK01026,2024-06-19,2024-07-03,2024-07-10,Terlambat,21.0,Dasar-Dasar Desain Interior,Tari Kuswandari,PT Grasindo,2022,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini membahas secara mendalam tentang konsep arsitektur ruang dalam modern, ergonomi dalam desain ruang, serta prinsip pencahayaan dan estetika ruang. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","material interior, desain interior, pencahayaan ruang, ergonomi ruang",Inggris,Fisik,254,978-0-673-49960-8,0
431,TRX001158,USR00290,BK00481,2023-07-19,2023-08-02,2023-08-03,Terlambat,15.0,Asuhan Keperawatan Dasar,dr. Adinata Suwarno,Rajawali Pers,2005,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini menyajikan kajian komprehensif mengenai komunikasi terapeutik perawat, manajemen perawatan pasien, serta asuhan keperawatan pasien. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","asuhan keperawatan, keperawatan medikal bedah, praktik klinis, keperawatan gawat darurat",Indonesia,E-book,333,978-1-58018-569-1,9999
432,TRX001159,USR00234,BK00985,2024-05-27,2024-06-10,2024-06-13,Terlambat,17.0,Tata Ruang: Konsep dan Aplikasi Edisi Ke-3,"Cayadi Hutasoit, R. Budi Maulana",PT Grasindo,2008,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,Desain Interior & Arsitektur Ruang,"Buku ini mengulas berbagai aspek penting dari ergonomi dalam desain ruang, prinsip pencahayaan dan estetika ruang, serta konsep arsitektur ruang dalam modern. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","ergonomi ruang, furnitur, tata ruang, material interior",Indonesia,E-book,431,978-1-4579-3897-9,9999
433,TRX001160,USR00290,BK00511,2024-12-02,2024-12-16,2024-12-20,Terlambat,18.0,Panduan Keperawatan Medikal Bedah,Niyaga Haryanti,Pustaka Pelajar,2018,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,Keperawatan Klinis,"Buku ini membahas secara mendalam tentang prosedur klinis keperawatan, komunikasi terapeutik perawat, serta penanganan kondisi darurat medis. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","keperawatan medikal bedah, keperawatan, keperawatan gawat darurat, asuhan keperawatan",Indonesia,Fisik,390,978-1-72625-701-5,8
434,TRX001161,USR00077,BK01193,2025-02-19,2025-03-05,2025-03-08,Terlambat,17.0,Dasar-Dasar Psikologi Sosial,Vera Hutagalung,Deepublish,2019,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini membahas secara mendalam tentang perkembangan kepribadian individu, gangguan psikologis dan penanganannya, serta dinamika interaksi sosial manusia. Membantu pembaca membangun pemahaman konseptual maupun praktis.","psikoterapi, psikologi, kesehatan mental, psikologi sosial",Indonesia,E-book,316,978-0-618-12054-3,9999
435,TRX001162,USR00150,BK01183,2023-03-16,2023-03-30,2023-04-06,Terlambat,21.0,Dasar-Dasar Psikologi Perkembangan,Vicky Yolanda,UI Press,2015,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini memberikan pemahaman menyeluruh tentang perilaku dan proses mental manusia, perkembangan kepribadian individu, serta dinamika interaksi sosial manusia. Membantu pembaca membangun pemahaman konseptual maupun praktis.","psikologi sosial, psikologi, psikoterapi, kesehatan mental",Indonesia,E-book,181,978-1-04-235973-8,9999
436,TRX001163,USR00027,BK00211,2024-02-01,2024-02-15,2024-02-18,Terlambat,17.0,Infrastruktur Jaringan di Era Digital,Kamaria Kusmawati,Salemba Empat,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Jaringan & Keamanan Siber,"Buku ini memberikan pemahaman menyeluruh tentang keamanan jaringan komputer, protokol komunikasi data, serta proteksi data digital. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","protokol jaringan, firewall, hacking etis, enkripsi",Indonesia,Fisik,449,978-1-75140-105-6,2
437,TRX001166,USR00333,BK01255,2025-01-11,2025-01-25,2025-01-28,Terlambat,17.0,Memahami Komunikasi Interpersonal,"T. Galak Namaga, M.Pd",Erlangga,2009,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini memberikan pemahaman menyeluruh tentang pengaruh media sosial terhadap opini publik, jurnalisme di era digital, serta hubungan masyarakat dan citra publik. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","komunikasi interpersonal, komunikasi massa, media digital, jurnalistik",Indonesia,Fisik,429,978-0-210-31421-0,8
438,TRX001168,USR00262,BK01241,2025-08-13,2025-08-27,2025-08-31,Terlambat,18.0,Pengantar Public Relations,Safina Wacana,Erlangga,2010,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini memberikan pemahaman menyeluruh tentang hubungan masyarakat dan citra publik, dinamika komunikasi massa, serta strategi media dan publikasi. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","broadcasting, media sosial, komunikasi massa, public relations",Indonesia,Fisik,510,978-0-453-37220-6,2
439,TRX001170,USR00253,BK01221,2025-04-12,2025-04-26,2025-05-01,Terlambat,19.0,Memahami Psikologi Perkembangan Edisi Ke-3,Galih Laksita,PT Grasindo,2009,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini memberikan pemahaman menyeluruh tentang intervensi psikoterapi klinis, gangguan psikologis dan penanganannya, serta dinamika interaksi sosial manusia. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","psikologi sosial, kesehatan mental, psikoterapi, psikologi klinis",Indonesia,Fisik,498,978-0-362-79246-1,8
440,TRX001176,USR00076,BK00332,2024-11-16,2024-11-30,2024-12-05,Terlambat,19.0,Dasar-Dasar Teknik Industri,"Julia Firgantoro, S.Pt",Bumi Aksara,2011,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,Teknik Industri & Manajemen Operasi,"Buku ini membahas secara mendalam tentang optimalisasi proses produksi, efisiensi tata letak fasilitas pabrik, serta manajemen kualitas dan produktivitas. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","six sigma, teknik industri, tata letak pabrik, produktivitas",Inggris,Fisik,442,978-0-248-19346-7,5
441,TRX001177,USR00042,BK00731,2024-06-26,2024-07-10,2024-07-13,Terlambat,17.0,Modul Keperawatan Berbasis Bukti,Martani Waluyo,Informatika Bandung,2013,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini mengulas berbagai aspek penting dari etika dan profesionalisme keperawatan, residensi dan pembelajaran klinik lanjutan, serta penerapan evidence-based practice. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","keperawatan komprehensif, praktik klinis ners, evidence based practice, keperawatan lanjutan",Indonesia,Fisik,240,978-1-64750-111-2,5
442,TRX001178,USR00026,BK00723,2024-07-17,2024-07-31,2024-08-03,Terlambat,17.0,Keperawatan Berbasis Bukti: Praktik Klinis Lanjutan,"Tgk. Raditya Wastuti, S.E.I",Informatika Bandung,2012,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini dirancang sebagai panduan untuk memahami praktik klinik keperawatan profesional, residensi dan pembelajaran klinik lanjutan, serta etika dan profesionalisme keperawatan. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","residensi keperawatan, keperawatan lanjutan, profesi ners, evidence based practice",Indonesia,Fisik,519,978-0-608-75243-3,7
443,TRX001181,USR00121,BK01318,2025-12-09,2025-12-23,2025-12-24,Terlambat,15.0,Strategi Content Creation Edisi Ke-3,Hj. Gabriella Wijaya,Salemba Empat,2007,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Jurnalistik & Media Digital,"Buku ini memberikan pemahaman menyeluruh tentang produksi berita di media digital, strategi konten media sosial, serta etika jurnalistik di era digital. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","media sosial, konten kreator, media digital, produksi berita",Indonesia,E-book,324,978-1-201-49118-7,9999
444,TRX001183,USR00375,BK00814,2025-09-14,2025-09-28,2025-10-03,Terlambat,19.0,Prinsip Ilustrasi Digital Edisi Terbaru,"Tgk. Balijan Nugroho, M.M.",PT Grasindo,2008,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Desain Komunikasi Visual & Ilustrasi,"Buku ini membahas secara mendalam tentang proses kreatif desain grafis, strategi branding melalui visual, serta ilustrasi dan komposisi gambar. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","desain komunikasi visual, ilustrasi, layout, tipografi",Inggris,Fisik,154,978-1-289-28664-4,3
445,TRX001184,USR00068,BK00055,2025-04-05,2025-04-19,2025-04-26,Terlambat,21.0,Algoritma dan Algoritma,"Hesti Samosir, M.Farm",Alfabeta,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari implementasi kode, efisiensi algoritma, serta pengembangan perangkat lunak. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","struktur data, kompleksitas, java, pemrograman",Indonesia,E-book,471,978-1-885685-57-5,9999
446,TRX001186,USR00026,BK00757,2023-03-01,2023-03-15,2023-03-19,Terlambat,18.0,Modul Profesi Ners,Mustika Siregar,Kencana Prenada,2019,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini memberikan pemahaman menyeluruh tentang residensi dan pembelajaran klinik lanjutan, kompetensi ners dalam asuhan pasien, serta praktik klinik keperawatan profesional. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompetensi ners, praktik klinis ners, residensi keperawatan, keperawatan lanjutan",Indonesia,Fisik,281,978-0-674-47163-4,8
447,TRX001189,USR00374,BK00185,2023-10-17,2023-10-31,2023-11-02,Terlambat,16.0,Pengantar Kriptografi Edisi Revisi,Hairyanto Sihotang,Elex Media Komputindo,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Jaringan & Keamanan Siber,"Buku ini mengulas berbagai aspek penting dari keamanan jaringan komputer, protokol komunikasi data, serta audit keamanan sistem. Membantu pembaca membangun pemahaman konseptual maupun praktis.","enkripsi, keamanan siber, jaringan komputer, cyber security",Indonesia,Fisik,225,978-0-932048-99-8,2
448,TRX001198,USR00349,BK00890,2025-09-01,2025-09-15,2025-09-22,Terlambat,21.0,Teknik Motion Graphic,"Umi Nasyiah, M.Farm",Deepublish,2021,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini dirancang sebagai panduan untuk memahami teknik pengambilan gambar fotografi, animasi dan motion graphic, serta editing visual dan videografi. Membantu pembaca membangun pemahaman konseptual maupun praktis.","editing visual, media interaktif, fotografi, motion graphic",Indonesia,Fisik,491,978-0-301-02724-1,2
449,TRX001202,USR00371,BK00289,2024-01-11,2024-01-25,2024-01-27,Terlambat,16.0,Manajemen SQL Server Modern Edisi Ke-2,"Cahyono Dongoran, M.Kom.",Graha Ilmu,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai arsitektur data warehouse, manajemen sistem basis data, serta query dan manipulasi data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","normalisasi, query, sql, database",Indonesia,E-book,392,978-1-66609-935-5,9999
450,TRX001204,USR00252,BK01238,2023-05-04,2023-05-18,2023-05-22,Terlambat,18.0,Media Digital di Era Digital,"Tugiman Saragih, Cinthia Firgantoro",Salemba Empat,2022,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini memberikan pemahaman menyeluruh tentang strategi media dan publikasi, dinamika komunikasi massa, serta pengaruh media sosial terhadap opini publik. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","komunikasi massa, public relations, media sosial, komunikasi interpersonal",Indonesia,E-book,213,978-0-903267-14-4,9999
451,TRX001207,USR00035,BK00105,2025-01-15,2025-01-29,2025-02-05,Terlambat,21.0,Data Science untuk Pemula Edisi Ke-2,Harto Rahimah,Pustaka Pelajar,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Kecerdasan Buatan & Data Science,"Buku ini dirancang sebagai panduan untuk memahami otomatisasi cerdas, analisis data besar, serta prediksi berbasis data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","big data, deep learning, kecerdasan buatan, neural network",Indonesia,Fisik,537,978-0-343-24451-4,0
452,TRX001212,USR00250,BK00911,2025-06-22,2025-07-06,2025-07-11,Terlambat,19.0,Pengantar Fotografi Digital,Vinsen Tarihoran,Pustaka Pelajar,2007,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini membahas secara mendalam tentang produksi konten multimedia digital, editing visual dan videografi, serta desain media interaktif. Membantu pembaca membangun pemahaman konseptual maupun praktis.","videografi, motion graphic, editing visual, multimedia",Inggris,Fisik,144,978-0-7639-2836-0,2
453,TRX001216,USR00249,BK00777,2024-01-14,2024-01-28,2024-02-02,Terlambat,19.0,Pembelajaran Klinik Praktik Klinik Ners,Dinda Utami,Pustaka Pelajar,2006,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini menyajikan kajian komprehensif mengenai residensi dan pembelajaran klinik lanjutan, kompetensi ners dalam asuhan pasien, serta etika dan profesionalisme keperawatan. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompetensi ners, residensi keperawatan, profesi ners, keperawatan komprehensif",Indonesia,Fisik,444,978-0-18-513279-6,0
